"","peakIndex","peakPPM","peakValue","peakSNR","peakScale","Sample"
"169",20201,7.87191,68.2923751780642,15.2417636529116,8,4
"170",20201,7.87094,18.5846204219484,4.89002907981775,4,5
"171",20201,7.87167,53.526589323312,12.5596575619211,7.5,6
"172",20201,7.87191,50.0447149262213,10.3789722967107,5.5,7
"173",20201,7.87142,58.8893836998541,13.4156722319346,8,8
"174",20201,7.87191,33.3605604641594,7.7429387813527,8,9
"175",20201,7.87142,40.2643756548366,8.65111913617714,11.5,11
"176",20201,7.8724,38.2494423508729,8.602318698341,6,13
"177",20201,7.87167,50.484000757268,10.2626525987083,9,14
"178",20201,7.87167,37.4101016033327,8.60609319216379,10,15
"179",20201,7.87142,36.2175768622765,9.9225893023852,16,16
"180",20228,7.86433,17.1592513946326,4.15006575066196,5,2
"181",20228,7.86604,10.2934422534991,2.71260109924525,4.5,3
"182",20228,7.86507,20.3583049704643,4.54364739730682,6.5,4
"183",20228,7.86409,15.654206033562,3.56620640263145,5,8
"184",20228,7.86433,11.7826966618201,2.39524840944408,7,14
"185",20228,7.86629,11.0009610647111,2.53074148608662,3,15
"186",20256,7.85773,20.172575226076,5.09247336546979,5.5,1
"187",20256,7.85749,59.4071118758741,14.3679589902697,5.5,2
"188",20256,7.85797,26.6864361954369,7.03259943330155,5.5,3
"189",20256,7.85871,52.3175597322107,11.676440865562,6,4
"190",20256,7.85797,40.5082319552525,9.50498674077222,7,6
"191",20256,7.85822,46.8964717364401,9.72604563106337,6,7
"192",20256,7.85773,42.0047852087533,9.56916841591676,6,8
"193",20256,7.85871,26.8466554299626,6.7373837566576,4.5,10
"194",20256,7.85797,30.6332540037433,6.58179657836878,15,11
"195",20256,7.85871,31.0991748026529,6.04037844907784,11,12
"196",20256,7.85895,42.0839896780278,9.46471030837989,5.5,13
"197",20256,7.85871,32.9397188766042,6.69615891092061,5.5,14
"198",20256,7.85822,27.6665536903534,6.36461621756123,5.5,15
"199",20256,7.85773,21.0452587627942,5.7658042739777,5.5,16
"200",20382,7.82814,500.615745315527,58.01605456001,15,3
"201",20382,7.82814,245.481149350041,37.0817867284111,13,6
"202",20382,7.82814,353.922783733863,47.6767492732161,16,7
"203",20382,7.82814,387.086444156091,45.87906773024,13,9
"204",20382,7.82839,276.520385253478,43.6361426140796,14,10
"205",20382,7.82814,349.569343207851,46.7044664903087,14,11
"206",20382,7.82692,181.557273488034,32.1029636865562,14,12
"207",20382,7.82839,200.987257704567,30.2756588481587,14,13
"208",20382,7.82814,350.815593026302,48.3745877019555,16,15
"209",20382,7.82619,211.734170402058,42.6808109166484,13,1
"210",20382,7.82619,242.897377085626,39.8410491554023,12,2
"211",20382,7.82619,498.935007406632,46.5611032438146,14,4
"212",20382,7.82619,601.983652906738,43.9775331419909,13,5
"213",20382,7.82643,492.521991787405,45.6472223761554,13,8
"214",20382,7.82643,289.027538273488,29.8751324758201,14,14
"215",20382,7.82643,183.020789426652,28.6370522072383,13,16
"216",20434,7.81445,228.817443381605,46.8696506090862,14.5,1
"217",20434,7.81469,369.004963836947,62.18512760557,15.5,2
"218",20434,7.81494,464.655219062806,57.0031449582018,14,3
"219",20434,7.8142,552.856306689851,51.5930916705565,14.5,4
"220",20434,7.8142,699.749922271571,55.1852691277217,14.5,5
"221",20434,7.81469,297.32615857385,44.9133680130026,15,6
"222",20434,7.81494,306.787594314319,41.3271930672189,13,7
